CITY ,SKILLS,USER NAME
Andheri,Machine Learning,Akshay
Khar,Python,Rahul
Powai,Python,Hari
Powai,Machine Learning,Krupa
Malad,Java,Nisha
Malad,Machine Learning,Tanvi
Khar,Data Science,Riya
Powai,Data Science,Sanjay
Andheri,Natural Language Processing,Tanvi
Dadar,Artificial Intelligence,Yash
Santacruz,Java,Varun
Bandra,Cyber Security,Krish
Malad,Backend Developement,Neha
Powai,Artificial Intelligence,Darshan
Juhu,Python,Anaya
Khar,R,Divya
Santacruz,Cyber Security,Anaya
Andheri,Web Development,Kavya
Goregaon,Ruby,Anaya
Dadar,JavaScript,Divya
Bandra,Blockchain,Krupa
Andheri,Frontend Development,Rahul
Powai,Cloud Computing,Rahul
Colaba,Data Analytics,Ayush
Santacruz,Python,Gauri
Dadar,PHP,Riya
Malad,Artificial Intelligence,Isha
Andheri,Software Engineering,Jai
Dadar,Web Development,Manish
Dadar,Natural Language Processing,Hari
Andheri,Software Engineering,Divya
Santacruz,Frontend Development,Rohan
Bandra,Data Analytics,Varun
Malad,JavaScript,Darshan
Dadar,Software Engineering,Chahat
Santacruz,Mobile App Development,Nisha
Santacruz,Natural Language Processing,Gauri
Juhu,Backend Developement,Aryan
Juhu,Backend Developement,Sahil
Powai,Mobile App Development,Darshan
Santacruz,Database Management Systems,Darshan
Powai,Java,Krish
Colaba,Full Stack Developer,Arjun
Goregaon,Game Development,Akshay
Colaba,Frontend Development,Aryan
Goregaon,PHP,Varun
Khar,Ruby,Divya
Andheri,Mobile App Development,Arjun
Colaba,PHP,Nisha
Santacruz,Full Stack Developer,Sahil
Malad,DevOps,Darshan
Malad,Game Development,Pooja
Bandra,Java,Rohan
Powai,Robotics,Krupa
Santacruz,Computer Vision,Vaibhav
Powai,Full Stack Developer,Chahat
Malad,Blockchain,Jai
Powai,Full Stack Developer,Yash
Bandra,Software Engineering,Anaya
Andheri,JavaScript,Neha
Khar,Blockchain,Vaibhav
Malad,Robotics,Darshan
Santacruz,Frontend Development,Varun
Goregaon,Natural Language Processing,Pooja
Powai,Machine Learning,Yash
Santacruz,Game Development,Avani
Santacruz,Natural Language Processing,Ayush
Dadar,Python,Nisha
Dadar,Python,Gauri
Colaba,Java,Nisha
Khar,Robotics,Jai
Santacruz,Ruby,Yash
Colaba,Data Analytics,Isha
Malad,Web Development,Hari
Juhu,Computer Vision,Arjun
Dadar,Natural Language Processing,Dhruv
Dadar,R,Varun
Khar,Data Analytics,Jai
Powai,Cyber Security,Isha
Santacruz,Cloud Computing,Kavya
Colaba,Game Development,Chahat
Dadar,JavaScript,Nisha
Khar,DevOps,Riya
Malad,JavaScript,Rahul
Khar,Robotics,Avani
Santacruz,Cloud Computing,Vaibhav
Goregaon,R,Neha
Santacruz,Python,Darshan
Goregaon,Machine Learning,Jai
Andheri,Robotics,Krish
Santacruz,Database Management Systems,Gauri
Santacruz,PHP,Sanjay
Bandra,Java,Neha
Colaba,DevOps,Rohan
Juhu,Java,Ayush
Powai,DevOps,Neha
Malad,Cyber Security,Vaibhav
Juhu,Artificial Intelligence,Akshay
Colaba,Machine Learning,Ayush
Andheri,Computer Vision,Rahul
Powai,Cloud Computing,Krupa
Santacruz,Robotics,Tanvi
Santacruz,Natural Language Processing,Sanjay
Santacruz,Cyber Security,Isha
Goregaon,Cloud Computing,Jai
Powai,Frontend Development,Shreya
Goregaon,Data Analytics,Dhruv
Khar,Game Development,Krish
Dadar,Data Analytics,Yash
Colaba,DevOps,Pooja
Colaba,Robotics,Vaibhav
Colaba,Blockchain,Vaibhav
Bandra,Frontend Development,Divya
Goregaon,DevOps,Hari
Malad,Software Engineering,Dhruv
Colaba,Natural Language Processing,Aryan
Powai,Java,Anaya
Andheri,Game Development,Tanvi
Colaba,PHP,Darshan
Malad,Software Engineering,Dhruv
Malad,Computer Vision,Darshan
Bandra,Full Stack Developer,Hari
Malad,Natural Language Processing,Dhruv
Santacruz,Computer Vision,Akshay
Malad,Python,Nisha
Malad,PHP,Divya
Juhu,Full Stack Developer,Arjun
Bandra,Ruby,Hari
Andheri,C++,Krish
Khar,Python,Varun
Juhu,Database Management Systems,Tanvi
Goregaon,Database Management Systems,Rohan
Dadar,Artificial Intelligence,Kavya
Goregaon,C++,Vaibhav
Bandra,Mobile App Development,Arjun
Goregaon,Database Management Systems,Shreya
Santacruz,Mobile App Development,Dhruv
Dadar,Python,Dhruv
Goregaon,DevOps,Yash
Santacruz,Data Analytics,Krupa
Santacruz,Data Science,Hari
Juhu,Cloud Computing,Kavya
Goregaon,Artificial Intelligence,Neha
Khar,Java,Rohan
Bandra,Artificial Intelligence,Sahil
Dadar,Full Stack Developer,Nisha
Powai,Software Engineering,Varun
Santacruz,Blockchain,Manish
Santacruz,Full Stack Developer,Varun
Khar,Robotics,Riya
Goregaon,Data Analytics,Nisha
Goregaon,R,Tanvi
Goregaon,Natural Language Processing,Sanjay
Malad,Python,Divya
Malad,Ruby,Gauri
Colaba,Python,Riya
Andheri,Computer Vision,Akshay
Malad,Cloud Computing,Arjun
Andheri,PHP,Neha
Malad,Software Engineering,Divya
Andheri,Web Development,Gauri
Santacruz,Natural Language Processing,Rohan
Goregaon,Artificial Intelligence,Dhruv
Andheri,Cyber Security,Nisha
Bandra,Cyber Security,Kavya
Powai,Cyber Security,Kavya
Bandra,Artificial Intelligence,Gauri
Colaba,Database Management Systems,Neha
Khar,DevOps,Varun
Powai,Ruby,Neha
Colaba,Mobile App Development,Pooja
Juhu,Artificial Intelligence,Tanvi
Santacruz,Data Analytics,Anaya
Bandra,Robotics,Isha
Juhu,Robotics,Rahul
Bandra,Mobile App Development,Krupa
Powai,Computer Vision,Sahil
Goregaon,Database Management Systems,Varun
Colaba,Frontend Development,Shreya
Andheri,R,Avani
Goregaon,Ruby,Avani
Khar,Game Development,Gauri
Dadar,C++,Shreya
Khar,PHP,Manish
Goregaon,Data Analytics,Tanvi
Dadar,Robotics,Hari
Juhu,Cyber Security,Darshan
Colaba,Full Stack Developer,Akshay
Santacruz,Mobile App Development,Shreya
Juhu,Cloud Computing,Krish
Malad,Natural Language Processing,Sahil
Andheri,Database Management Systems,Rahul
Andheri,Data Science,Dhruv
Juhu,Data Science,Riya
Powai,Robotics,Riya
Juhu,Data Analytics,Chahat
Dadar,Software Engineering,Hari
Santacruz,Natural Language Processing,Neha
Dadar,Software Engineering,Tanvi
Malad,Software Engineering,Divya
Goregaon,Backend Developement,Krish
Colaba,Data Science,Isha
Santacruz,JavaScript,Aryan
Malad,Blockchain,Vaibhav
Goregaon,Frontend Development,Akshay
Dadar,Mobile App Development,Divya
Juhu,Mobile App Development,Vaibhav
Andheri,Machine Learning,Krish
Juhu,Data Analytics,Chahat
Bandra,Data Analytics,Avani
Powai,R,Tanvi
Bandra,Full Stack Developer,Rahul
Goregaon,C++,Anaya
Goregaon,Java,Sahil
Dadar,PHP,Sanjay
Bandra,Cloud Computing,Rahul
Goregaon,Web Development,Shreya
Andheri,Full Stack Developer,Chahat
Santacruz,Machine Learning,Anaya
Powai,C++,Dhruv
Powai,PHP,Shreya
Malad,Data Analytics,Manish
Juhu,Software Engineering,Jai
Santacruz,Natural Language Processing,Krish
Santacruz,Python,Pooja
Andheri,Machine Learning,Aryan
Andheri,Game Development,Sanjay
Khar,C++,Anaya
Juhu,Full Stack Developer,Arjun
Andheri,C++,Avani
Colaba,Cyber Security,Gauri
Malad,Game Development,Arjun
Malad,Blockchain,Divya
Goregaon,Software Engineering,Anaya
Santacruz,Artificial Intelligence,Nisha
Khar,Backend Developement,Vaibhav
Bandra,Artificial Intelligence,Sanjay
Khar,Game Development,Arjun
Powai,R,Dhruv
Dadar,JavaScript,Avani
Colaba,Artificial Intelligence,Divya
Colaba,Software Engineering,Chahat
Santacruz,Backend Developement,Sanjay
Santacruz,R,Isha
Khar,Data Analytics,Aryan
Malad,Artificial Intelligence,Krupa
Dadar,Natural Language Processing,Kavya
Malad,Artificial Intelligence,Nisha
Santacruz,Java,Varun
Andheri,Database Management Systems,Rohan
Juhu,Database Management Systems,Tanvi
Dadar,Cloud Computing,Rahul
Andheri,R,Jai
Bandra,Game Development,Darshan
Colaba,JavaScript,Anaya
Juhu,Cyber Security,Aryan
Malad,Artificial Intelligence,Chahat
Juhu,DevOps,Aryan
Juhu,Database Management Systems,Rahul
Khar,R,Dhruv
Goregaon,JavaScript,Isha
Juhu,Web Development,Kavya
Khar,R,Anaya
Khar,Cloud Computing,Nisha
Goregaon,Cloud Computing,Isha
Bandra,Cyber Security,Arjun
Santacruz,Computer Vision,Arjun
Malad,Ruby,Gauri
Andheri,Cloud Computing,Neha
Colaba,PHP,Vaibhav
Powai,Web Development,Ayush
Bandra,Machine Learning,Pooja
Bandra,Cyber Security,Shreya
Santacruz,Machine Learning,Kavya
Khar,Computer Vision,Pooja
Santacruz,Machine Learning,Nisha
Powai,Artificial Intelligence,Arjun
Bandra,PHP,Riya
Juhu,Python,Chahat
Andheri,DevOps,Rohan
Powai,PHP,Kavya
Juhu,Database Management Systems,Nisha
Colaba,Ruby,Rohan
Dadar,Game Development,Arjun
Santacruz,Data Analytics,Varun
Bandra,Game Development,Varun
Dadar,Backend Developement,Gauri
Malad,Natural Language Processing,Gauri
Andheri,Artificial Intelligence,Chahat
Andheri,Software Engineering,Manish
Juhu,Machine Learning,Neha
Santacruz,Machine Learning,Arjun
Malad,Python,Hari
Juhu,JavaScript,Vaibhav
Juhu,Software Engineering,Rahul
Bandra,Machine Learning,Rahul
Bandra,Java,Arjun
Bandra,Data Analytics,Pooja
Colaba,Full Stack Developer,Aryan
Goregaon,Full Stack Developer,Darshan
Andheri,Frontend Development,Hari
Juhu,Full Stack Developer,Pooja
Dadar,Backend Developement,Sanjay
Khar,DevOps,Ayush
Andheri,Cloud Computing,Tanvi
Dadar,Mobile App Development,Manish
Powai,JavaScript,Krupa
Colaba,Artificial Intelligence,Ayush
Andheri,Machine Learning,Varun
Andheri,JavaScript,Dhruv
Powai,Natural Language Processing,Varun
Andheri,JavaScript,Dhruv
Juhu,Robotics,Divya
Bandra,Artificial Intelligence,Nisha
Bandra,Database Management Systems,Aryan
Colaba,Full Stack Developer,Akshay
Santacruz,Full Stack Developer,Aryan
Colaba,Java,Isha
Powai,Artificial Intelligence,Pooja
Goregaon,Mobile App Development,Hari
